,Title,Subtitle,Link
40,SWOT A STAR,"I graduated after six years' study on loan from Chelsea, now I want Wembley joy",https://www.thesun.co.uk/sport/27984652/nathan-baxter-bolton-league-one-play-off-oxford/
41,PRAY FER GOOD NEWS,Man Utd fans in fresh Bruno Fernandes fears after post-Newcastle video,https://www.thesun.co.uk/sport/27962198/man-utd-transfer-news-bruno-fernandes-newcastle/
42,SELL BY DATE,"Ex-Arsenal FA Cup winner, 49, takes shock non-league boss job in eighth tier",https://www.thesun.co.uk/sport/27973573/ian-selley-leatherhead-still-playing-arsenal-aged-49/
43,CASE CLOSED,Best online casinos as rated by the real expert for UK players right NOW,https://www.thesun.co.uk/betting/20803800/best-online-casinos-uk/
44,CASINO,Join Sun Vegas and get a £30 bonus & 50 The Sun Live Roulette Table golden chips,https://www.thesun.co.uk/sun-bingo/25321231/welcome-offer-sun-live-roulette-table-bonus/
45,IT'S PAY DAY!,Highest payout online casinos AND the fastest paying sites in UK revealed,https://www.thesun.co.uk/betting/22917511/highest-payout-casinos-uk/
46,END GAMES,Real Madrid star Endrick banned from having virtual lover on Grand Theft Auto,https://www.thesun.co.uk/sport/27977576/endrick-gabriely-miranda-gta-rp-relationship-contract/
47,UNITED LATEST,"Watkins on radar, Amrabat set to STAY in Premier League, Branthwaite interest",https://www.thesun.co.uk/sport/27841556/man-utd-transfer-news-live-bruno-fernandes-exclusive-mason-greenwood/
48,GUNNERS LATEST,"Ramsdale 'EXIT', £60m bid for Sesko 'considered', Gunners eye Guimaraes",https://www.thesun.co.uk/sport/27840895/arsenal-transfer-news-live-guimaraes-isak-sesko-updates/
49,WILL I NEVER,Chelsea 'to offer MORE than £47m release for wonderkid' leaving fans stunned,https://www.thesun.co.uk/sport/27965175/chelsea-transfer-estevao-willian-palmeiras/
50,OH GREALY?,Man City drop hint over Jack Grealish's future with stunning new home kit,https://www.thesun.co.uk/sport/27953962/man-city-hint-jack-grealish-future-home-kit/
51,RAT PACK,Man Utd 'put £150m worth of flops up for transfer' including Prem legend,https://www.thesun.co.uk/sport/27933235/man-utd-antony-casemiro-eriksen-transfers/
52,KEEN ON JEAN,PSG targeting shock Mateta move as Palace face horror summer transfer window,https://www.thesun.co.uk/sport/27944410/jean-philippe-mateta-psg-transfer-crystal-palace/
53,SESK APPEAL,Arsenal 'in pole position to sign Sesko' but agent also spotted at Man Utd,https://www.thesun.co.uk/sport/27950091/arsenal-benjamin-sesko-transfer-man-utd/
54,GUNNER GO,Every Arsenal star set to leave this summer revealed including £5m Wenger ace,https://www.thesun.co.uk/sport/27909456/arsenal-transfer-elneny-cedric-soares/
55,GONE MADD,Klopp reveals Maddison is the ONE Prem star he doesn't like after 5-YEAR grudge,https://www.thesun.co.uk/sport/27973267/jurgen-klopp-liverpool-grudge-james-maddison-vincent-kompany/
56,SOCK IN IT,Man Utd 2024/25 home kit 'leaked' but fans cry 'it's not the dream we got sold',https://www.thesun.co.uk/sport/27902832/man-utd-202425-home-kit-leak-adidas-fan-reaction/
57,BAY BYE,Man Utd boost as Thomas Tuchel ‘rejects chance to stay on at Bayern Munich’,https://www.thesun.co.uk/sport/27974024/man-utd-boost-thomas-tuchel-rejects-bayern-munich/
58,TOFF LUCK,Everton takeover group have TWO clubs seized in further blow to sale hopes,https://www.thesun.co.uk/sport/27968156/everton-777-farhad-moshiri-premier-league/
59,ALL TO PLAY FOUR,Prem final day TV fixtures CONFIRMED with four games to be shown live,https://www.thesun.co.uk/sport/27959936/premier-league-final-day-tv-fixtures/
60,SWAP SHOP,Transfer recommendations for GW35 - Noni Madueke among tempting differentials,https://www.thesun.co.uk/sport/football/dream-team/27818746/transfer-recommendations-madueke-guimaraes-gvardiol-fantasy-fantasy-tips/
61,FLYING EAGLES,"Crystal Palace stars Olise, Eze and Mateta combined for 46 points vs West Ham",https://www.thesun.co.uk/sport/football/dream-team/27490266/olise-eberechi-eze-mateta-fantasy-football-form-palace/
62,PLAY NOW,Compete for £500 CASH with Score Predictor - top tips for Matchweek 36!,https://www.thesun.co.uk/sport/football/dream-team/27512778/win-500-cash-score-predictor-matchweek-36-premier-league/
63,HOT TICKET,'World Cup's sexiest fan' WILL be heading to Euros after frenzy over racy snaps,https://www.thesun.co.uk/sport/27976011/ivana-knoll-euros-germany-return/
64,IN LOVE,Tottenham ace Johnson looks loved up with stunning model Tilde Cilla Syah,https://www.thesun.co.uk/sport/27959856/tottenham-brennan-johnson-jude-bellingham-tilde-cilla-syah/
65,BEACH BUM,Chelsea icon's daughter shows off her bum on beach trip as fans say 'excuse me?',https://www.thesun.co.uk/sport/27935038/chelsea-jade-leboeuf/
66,KARREN BRADY,West Ham will miss Moyes - the best manager I've worked with in 30-plus years,https://www.thesun.co.uk/sport/27856811/karren-brady-david-moyes-west-ham-best-manager/
67,TROY DEENEY,Tottenham should want to help Arsenal win the League by stopping City,https://www.thesun.co.uk/sport/27856085/tottenham-should-want-arsenal-win-premier-league-deeney/
68,NEIL CUSTIS,Man Utd have banned me 7 times - latest media block reminds me of Fergie row,https://www.thesun.co.uk/sport/27763406/man-utd-journalist-ban-ten-hag-alex-ferguson/
